Rank,Country,Imports (barrels per day)
1,United States,7969000
2,China,6710000
3,India,4057000
4,Japan,3208000
5,South Korea,3057000
6,Germany,1836000
7,Italy,1341000
8,Spain,1325000
9,France,1147000
10,Netherlands,1094000
11,United Kingdom,907100
12,Thailand,875400
13,Taiwan,846400
14,Canada,806700
15,Singapore,783300
16,Belgium,687600
17,Turkey,521500
18,Indonesia,498500
19,Poland,493100
20,Greece,484300
21,Belarus,468400
22,South Africa,404000
23,Sweden,400200
24,Australia,341700
25,Brazil,297700
26,Portugal,285200
27,Finland,236700
28,Israel,231600
29,Bahrain,226200
30,Philippines,211400
31,Curaçao,191300
32,Lithuania,182900
33,Chile,169600
34,Pakistan,168200
35,Malaysia,166000
36,Czech Republic,155900
37,Austria,146600
38,Romania,145300
39,Bulgaria,133900
40,Hungary,121000
41,Cuba,112400
42,Slovakia,111200
43,New Zealand,108900
44,Denmark,98240
45,Syria,87660
46,Peru,86060
47,Trinidad and Tobago,80860
48,Russia,76220
49,Jordan,67980
50,Ireland,66210
